symbol,isin,company,industry,nifty100,group,on_exit,as_of
360ONE,INE466L01038,360 ONE WAM Ltd.,Financial Services,,,hold,2026-07-22
ABB,INE117A01022,ABB India Ltd.,Capital Goods,,,hold,2026-07-22
ABCAPITAL,INE674K01013,Aditya Birla Capital Ltd.,Financial Services,,,hold,2026-07-22
ADANIENSOL,INE931S01010,Adani Energy Solutions Ltd.,Power,,,hold,2026-07-22
ADANIENT,INE423A01024,Adani Enterprises Ltd.,Metals & Mining,,,hold,2026-07-22
ADANIGREEN,INE364U01010,Adani Green Energy Ltd.,Power,,,hold,2026-07-22
ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Ltd.,Services,,,hold,2026-07-22
ADANIPOWER,INE814H01029,Adani Power Ltd.,Power,,,hold,2026-07-22
ALKEM,INE540L01014,Alkem Laboratories Ltd.,Healthcare,,,hold,2026-07-22
AMBUJACEM,INE079A01024,Ambuja Cements Ltd.,Construction Materials,,,hold,2026-07-22
APLAPOLLO,INE702C01027,APL Apollo Tubes Ltd.,Capital Goods,,,hold,2026-07-22
APOLLOHOSP,INE437A01024,Apollo Hospitals Enterprise Ltd.,Healthcare,,,hold,2026-07-22
ASHOKLEY,INE208A01029,Ashok Leyland Ltd.,Capital Goods,,,hold,2026-07-22
ASIANPAINT,INE021A01026,Asian Paints Ltd.,Consumer Durables,,,hold,2026-07-22
ASTRAL,INE006I01046,Astral Ltd.,Capital Goods,,,hold,2026-07-22
ATGL,INE399L01023,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,,,hold,2026-07-22
AUBANK,INE949L01017,AU Small Finance Bank Ltd.,Financial Services,,,hold,2026-07-22
AUROPHARMA,INE406A01037,Aurobindo Pharma Ltd.,Healthcare,,,hold,2026-07-22
AXISBANK,INE238A01034,Axis Bank Ltd.,Financial Services,,,hold,2026-07-22
BAJAJ-AUTO,INE917I01010,Bajaj Auto Ltd.,Automobile and Auto Components,,,hold,2026-07-22
BAJAJFINSV,INE918I01026,Bajaj Finserv Ltd.,Financial Services,,,hold,2026-07-22
BAJAJHLDNG,INE118A01012,Bajaj Holdings & Investment Ltd.,Financial Services,,,hold,2026-07-22
BAJFINANCE,INE296A01032,Bajaj Finance Ltd.,Financial Services,,,hold,2026-07-22
BANKBARODA,INE028A01039,Bank of Baroda,Financial Services,,,hold,2026-07-22
BANKINDIA,INE084A01016,Bank of India,Financial Services,,,hold,2026-07-22
BDL,INE171Z01026,Bharat Dynamics Ltd.,Capital Goods,,,hold,2026-07-22
BEL,INE263A01024,Bharat Electronics Ltd.,Capital Goods,,,hold,2026-07-22
BHARATFORG,INE465A01025,Bharat Forge Ltd.,Automobile and Auto Components,,,hold,2026-07-22
BHARTIARTL,INE397D01024,Bharti Airtel Ltd.,Telecommunication,,,hold,2026-07-22
BHEL,INE257A01026,Bharat Heavy Electricals Ltd.,Capital Goods,,,hold,2026-07-22
BIOCON,INE376G01013,Biocon Ltd.,Healthcare,,,hold,2026-07-22
BLUESTARCO,INE472A01039,Blue Star Ltd.,Consumer Durables,,,hold,2026-07-22
BOSCHLTD,INE323A01026,Bosch Ltd.,Automobile and Auto Components,,,hold,2026-07-22
BPCL,INE029A01011,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,,,hold,2026-07-22
BRITANNIA,INE216A01030,Britannia Industries Ltd.,Fast Moving Consumer Goods,,,hold,2026-07-22
BSE,INE118H01025,BSE Ltd.,Financial Services,,,hold,2026-07-22
CANBK,INE476A01022,Canara Bank,Financial Services,,,hold,2026-07-22
CGPOWER,INE067A01029,CG Power and Industrial Solutions Ltd.,Capital Goods,,,hold,2026-07-22
CHOLAFIN,INE121A01024,Cholamandalam Investment and Finance Company Ltd.,Financial Services,,,hold,2026-07-22
CIPLA,INE059A01026,Cipla Ltd.,Healthcare,,,hold,2026-07-22
COALINDIA,INE522F01014,Coal India Ltd.,Oil Gas & Consumable Fuels,,,hold,2026-07-22
COCHINSHIP,INE704P01025,Cochin Shipyard Ltd.,Capital Goods,,,hold,2026-07-22
COFORGE,INE591G01025,Coforge Ltd.,Information Technology,,,hold,2026-07-22
COLPAL,INE259A01022,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,,,hold,2026-07-22
CONCOR,INE111A01025,Container Corporation of India Ltd.,Services,,,hold,2026-07-22
COROMANDEL,INE169A01031,Coromandel International Ltd.,Chemicals,,,hold,2026-07-22
CUMMINSIND,INE298A01020,Cummins India Ltd.,Capital Goods,,,hold,2026-07-22
DABUR,INE016A01026,Dabur India Ltd.,Fast Moving Consumer Goods,,,hold,2026-07-22
DIVISLAB,INE361B01024,Divi's Laboratories Ltd.,Healthcare,,,hold,2026-07-22
DIXON,INE935N01020,Dixon Technologies (India) Ltd.,Consumer Durables,,,hold,2026-07-22
DLF,INE271C01023,DLF Ltd.,Realty,,,hold,2026-07-22
DMART,INE192R01011,Avenue Supermarts Ltd.,Consumer Services,,,hold,2026-07-22
DRREDDY,INE089A01031,Dr. Reddy's Laboratories Ltd.,Healthcare,,,hold,2026-07-22
EICHERMOT,INE066A01021,Eicher Motors Ltd.,Automobile and Auto Components,,,hold,2026-07-22
ENRIN,INE1NPP01017,Siemens Energy India Ltd.,Capital Goods,,,hold,2026-07-22
ETERNAL,INE758T01015,Eternal Ltd.,Consumer Services,,,hold,2026-07-22
EXIDEIND,INE302A01020,Exide Industries Ltd.,Automobile and Auto Components,,,hold,2026-07-22
FEDERALBNK,INE171A01029,Federal Bank Ltd.,Financial Services,,,hold,2026-07-22
FORTIS,INE061F01013,Fortis Healthcare Ltd.,Healthcare,,,hold,2026-07-22
GAIL,INE129A01019,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,,,hold,2026-07-22
GLENMARK,INE935A01035,Glenmark Pharmaceuticals Ltd.,Healthcare,,,hold,2026-07-22
GMRAIRPORT,INE776C01039,GMR Airports Ltd.,Services,,,hold,2026-07-22
GODFRYPHLP,INE260B01028,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,,,hold,2026-07-22
GODREJCP,INE102D01028,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,,,hold,2026-07-22
GODREJPROP,INE484J01027,Godrej Properties Ltd.,Realty,,,hold,2026-07-22
GRASIM,INE047A01021,Grasim Industries Ltd.,Construction Materials,,,hold,2026-07-22
GROWW,INE0HOQ01053,Billionbrains Garage Ventures Ltd.,Financial Services,,,hold,2026-07-22
GVT&D,INE200A01026,GE Vernova T&D India Ltd.,Capital Goods,,,hold,2026-07-22
HAL,INE066F01020,Hindustan Aeronautics Ltd.,Capital Goods,,,hold,2026-07-22
HAVELLS,INE176B01034,Havells India Ltd.,Consumer Durables,,,hold,2026-07-22
HCLTECH,INE860A01027,HCL Technologies Ltd.,Information Technology,,,hold,2026-07-22
HDFCAMC,INE127D01025,HDFC Asset Management Company Ltd.,Financial Services,,,hold,2026-07-22
HDFCBANK,INE040A01034,HDFC Bank Ltd.,Financial Services,,,hold,2026-07-22
HDFCLIFE,INE795G01014,HDFC Life Insurance Company Ltd.,Financial Services,,,hold,2026-07-22
HEROMOTOCO,INE158A01026,Hero MotoCorp Ltd.,Automobile and Auto Components,,,hold,2026-07-22
HINDALCO,INE038A01020,Hindalco Industries Ltd.,Metals & Mining,,,hold,2026-07-22
HINDPETRO,INE094A01015,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,,,hold,2026-07-22
HINDUNILVR,INE030A01027,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,,,hold,2026-07-22
HINDZINC,INE267A01025,Hindustan Zinc Ltd.,Metals & Mining,,,hold,2026-07-22
HUDCO,INE031A01017,Housing & Urban Development Corporation Ltd.,Financial Services,,,hold,2026-07-22
HYUNDAI,INE0V6F01027,Hyundai Motor India Ltd.,Automobile and Auto Components,,,hold,2026-07-22
ICICIAMC,INE346A01027,ICICI Prudential Asset Management Company Ltd.,Financial Services,,,hold,2026-07-22
ICICIBANK,INE090A01021,ICICI Bank Ltd.,Financial Services,,,hold,2026-07-22
ICICIGI,INE765G01017,ICICI Lombard General Insurance Company Ltd.,Financial Services,,,hold,2026-07-22
IDEA,INE669E01016,Vodafone Idea Ltd.,Telecommunication,,,hold,2026-07-22
IDFCFIRSTB,INE092T01019,IDFC First Bank Ltd.,Financial Services,,,hold,2026-07-22
INDHOTEL,INE053A01029,Indian Hotels Co. Ltd.,Consumer Services,,,hold,2026-07-22
INDIANB,INE562A01011,Indian Bank,Financial Services,,,hold,2026-07-22
INDIGO,INE646L01027,InterGlobe Aviation Ltd.,Services,,,hold,2026-07-22
INDUSINDBK,INE095A01012,IndusInd Bank Ltd.,Financial Services,,,hold,2026-07-22
INDUSTOWER,INE121J01017,Indus Towers Ltd.,Telecommunication,,,hold,2026-07-22
INFY,INE009A01021,Infosys Ltd.,Information Technology,,,hold,2026-07-22
IOC,INE242A01010,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,,,hold,2026-07-22
IRCTC,INE335Y01020,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,,,hold,2026-07-22
IREDA,INE202E01016,Indian Renewable Energy Development Agency Ltd.,Financial Services,,,hold,2026-07-22
IRFC,INE053F01010,Indian Railway Finance Corporation Ltd.,Financial Services,,,hold,2026-07-22
ITC,INE154A01025,ITC Ltd.,Fast Moving Consumer Goods,,,hold,2026-07-22
JINDALSTEL,INE749A01030,Jindal Steel Ltd.,Metals & Mining,,,hold,2026-07-22
JIOFIN,INE758E01017,Jio Financial Services Ltd.,Financial Services,,,hold,2026-07-22
JSWENERGY,INE121E01018,JSW Energy Ltd.,Power,,,hold,2026-07-22
JSWSTEEL,INE019A01038,JSW Steel Ltd.,Metals & Mining,,,hold,2026-07-22
JUBLFOOD,INE797F01020,Jubilant Foodworks Ltd.,Consumer Services,,,hold,2026-07-22
KALYANKJIL,INE303R01014,Kalyan Jewellers India Ltd.,Consumer Durables,,,hold,2026-07-22
KEI,INE878B01027,KEI Industries Ltd.,Capital Goods,,,hold,2026-07-22
KOTAKBANK,INE237A01036,Kotak Mahindra Bank Ltd.,Financial Services,,,hold,2026-07-22
KPITTECH,INE04I401011,KPIT Technologies Ltd.,Information Technology,,,hold,2026-07-22
LAURUSLABS,INE947Q01028,Laurus Labs Ltd.,Healthcare,,,hold,2026-07-22
LENSKART,INE956O01016,Lenskart Solutions Ltd.,Consumer Services,,,hold,2026-07-22
LGEINDIA,INE324D01010,LG Electronics India Ltd.,Consumer Durables,,,hold,2026-07-22
LICHSGFIN,INE115A01026,LIC Housing Finance Ltd.,Financial Services,,,hold,2026-07-22
LODHA,INE670K01029,Lodha Developers Ltd.,Realty,,,hold,2026-07-22
LT,INE018A01030,Larsen & Toubro Ltd.,Construction,,,hold,2026-07-22
LTF,INE498L01015,L&T Finance Ltd.,Financial Services,,,hold,2026-07-22
